name,address,city,website,phone,rating,reviews,category,description,activities
Xtreem Adventure Team Building & Event Organiser Sdn Bhd,"26, Lebuh Riang 2, Taman Riang, 12300 Butterworth, Pulau Pinang",Butterworth,http://www.xtreemadventure.com/,+60 16-400 2020,4.8,37,Event management company,,
Team Building Gopeng,"Kampung Geruntom, Lot 13320, Jalan Sungai Itik, 31600 Gopeng, Perak",Gopeng,http://www.teambuildinggopeng.my/,+60 16-402 2899,5,235,Outdoor activity organiser,,
Trailblazers Malaysia | Team Building Malaysia,"7, Jalan 20/18, Taman Paramount, 46300 Petaling Jaya, Selangor",Petaling Jaya,http://www.trailblazers.com.my/,+60 16-277 2909,4.8,3090,Event management company,,
Gecko Teambuilding,"32, Jalan BM 1/5, Seksyen 1, Banyan Close, Bandar Bukit Mahkota, 43000 Kajang, Selangor",Kajang,,+60 14-616 6110,5,3,Outdoor activity organiser,,
Alpha Adventure,"T7-06-01,Menara 7, Maju Link, Lingkaran Maju, Jln Lingkaran Tengah 2, Bandar Tasik Selatan, 57000 Kuala Lumpur",Kuala Lumpur,,+60 16-315 2755,5,32,Outdoor activity organiser,,
ATAG Team Building,"Level 20, Menara One Sentrum, 201, Jalan Tun Sambanthan, Brickfields, 50470 Kuala Lumpur, Federal Territory of Kuala Lumpur",Kuala Lumpur,https://www.myatag.com/,+60 3-7890 6869,4.9,3496,Event planner,,
MyRainforest Gopeng Adventure TeamBuilding HRDF,"No 88, Jalan Kampung Pintu Padang, 31600 Gopeng, Perak",Gopeng,,+60 19-662 2929,5,10,Outdoor activity organiser,,
Eco Ad Malaysia,"Lot 44785 jalan lubok pulai, 31600 Gopeng, Perak",Gopeng,,+60 12-704 5583,5,50,Outdoor activity organiser,,
MY Activities Malaysia,"Vida, 3, Jalan Ceylon, Bukit Bintang, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,http://www.my-activities.com.my/,+60 14-553 8136,4.4,7,Event management company,,
Asia Camp • Team Building Camp,"Lot No PT 1214 Ulu Semenyih, 6, Jalan Sungai Lalang, 43500 Semenyih, Selangor",Semenyih,https://asiacamp.my/,+60 19-284 4456,4.1,324,Recreation center,,
Traworld - A Team Building & Corporate Retreat Planner & Provider,"B-29-03A, Tower B, Kompleks Pavilion Ampang, Pavilion Embassy, 200, Jln Ampang, Kampung Datuk Keramat, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,https://www.traworld.com/,+60 11-2352 1346,4.8,45,Event management company,,
Outdoor Pro Group,"Taman Botani Negara, 40000 Shah Alam, Selangor",Shah Alam,http://www.outdoorprogroup.com/,+60 12-289 8282,4.6,5,Adventure sports center,,
Projek Outdoor-The Best Water Rafting Operator,"Projek Outdoor Ulu Slim, Kampung Ulu Slim, 35800 Slim River, Perak",Slim River,http://linktr.ee/projekoutdoor,+60 19-513 4193,4.8,91,Perakitan,,
Team Building In Johor Bahru • Run Solution,"165, Jalan Seri Impian 1, Taman Impian Emas, 81300 Johor Bahru, Johor Darul Ta'zim",Johor Bahru,https://www.teambuildingjohor.com/,+60 10-760 7087,5,1522,Training center,,
Vision Building Team Building & Training,"No. 75, 1, Jalan Radin Bagus, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,https://www.vision.build/,+60 11-3998 8002,4.8,6290,Training center,,
The Nest @ MAEPS Serdang,"UPM, 43400 Seri Kembangan, Selangor",Seri Kembangan,http://www.gacnest.com/,+60 10-933 3241,4.5,48,Outdoor activity organiser,,
Jom Bond,"17-3A, Level 17, Menara MBMR, 1, Jln Syed Putra, Mid Valley City, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,https://www.jombond.com/,+60 16-691 2722,4.9,651,Event management company,,
